"Œp‘±ŽžŠÔ
(s)","‰Á‘¬“xNS
(cm/s/s)"
21.82 ,25.3 
21.84 ,41.1 
21.86 ,64.4 
21.88 ,57.9 
21.90 ,47.4 
21.92 ,38.4 
21.94 ,38.5 
21.96 ,34.0 
21.98 ,35.7 
22.00 ,0.8 
22.02 ,-25.4 
22.04 ,-46.0 
22.06 ,-47.1 
22.08 ,-22.2 
22.10 ,-6.5 
22.12 ,16.4 
22.14 ,35.5 
22.16 ,50.4 
22.18 ,37.1 
22.20 ,28.0 
22.22 ,15.8 
22.24 ,4.1 
22.26 ,-2.7 
22.28 ,2.1 
22.30 ,4.4 
22.32 ,9.9 
22.34 ,13.5 
22.36 ,9.4 
22.38 ,5.8 
22.40 ,2.2 
22.42 ,-3.1 
22.44 ,-3.1 
22.46 ,0.4 
22.48 ,-2.5 
22.50 ,-12.4 
22.52 ,-23.5 
22.54 ,-40.6 
22.56 ,-53.0 
22.58 ,-70.1 
22.60 ,-32.3 
22.62 ,-5.2 
22.64 ,9.4 
22.66 ,32.8 
22.68 ,47.8 
22.70 ,50.9 
22.72 ,35.8 
22.74 ,34.2 
22.76 ,30.6 
22.78 ,28.5 
22.80 ,26.3 
22.82 ,16.8 
22.84 ,-0.5 
22.86 ,-21.2 
22.88 ,-36.5 
22.90 ,-31.0 
22.92 ,-29.7 
22.94 ,-28.0 
22.96 ,-23.7 
22.98 ,-26.6 
23.00 ,-30.8 
23.02 ,-36.6 
23.04 ,-35.7 
23.06 ,-30.8 
23.08 ,-19.3 
23.10 ,1.9 
23.12 ,19.6 
23.14 ,16.0 
23.16 ,12.9 
23.18 ,14.0 
23.20 ,11.0 
23.22 ,10.8 
23.24 ,9.2 
23.26 ,8.9 
23.28 ,1.9 
23.30 ,-13.1 
23.32 ,-24.7 
23.34 ,-43.6 
23.36 ,-43.2 
23.38 ,-30.0 
23.40 ,-19.2 
23.42 ,-4.8 
23.44 ,9.7 
23.46 ,16.8 
23.48 ,14.8 
23.50 ,17.3 
23.52 ,7.8 
23.54 ,-5.8 
23.56 ,-21.5 
23.58 ,-23.4 
23.60 ,6.0 
23.62 ,26.2 
23.64 ,26.9 
23.66 ,8.4 
23.68 ,-4.1 
23.70 ,-22.7 
23.72 ,-7.6 
23.74 ,3.1 
23.76 ,18.2 
23.78 ,31.0 
23.80 ,47.9 
